Moment de la simulation, Population de lapins, Population de renards
1,154,21
2,151,19
3,142,20
4,133,19
5,123,24
6,123,18
7,116,17
8,106,23
9,106,19
10,102,20
11,99,21
12,91,25
13,89,24
14,89,22
15,84,23
16,82,22
17,81,22
18,81,19
19,72,22
20,69,21
21,65,23
22,64,19
23,64,17
24,62,20
25,57,21
26,58,22
27,60,21
28,63,18
29,60,21
30,62,21
31,61,23
32,58,25
33,56,26
34,54,24
35,61,16
36,56,22
37,63,16
38,57,20
39,60,15
40,55,20
41,53,18
42,49,20
43,48,18
44,47,17
45,43,18
46,40,18
47,39,18
48,42,15
49,42,14
50,42,14
51,39,16
52,39,17
53,36,18
54,38,14
55,39,13
56,39,12
57,38,14
58,39,13
59,40,13
60,40,13
61,36,16
62,35,19
63,44,11
64,43,12
65,42,12
66,43,11
67,39,13
68,37,15
69,32,18
70,30,16
71,29,15
72,25,15
73,24,13
74,22,13
75,18,15
76,20,13
77,17,14
78,16,14
79,17,13
80,21,8
81,21,7
82,16,13
83,15,12
84,18,9
85,17,10
86,17,11
87,16,12
88,17,12
89,18,11
90,17,11
91,15,13
92,16,11
93,17,10
94,16,10
95,15,11
96,13,12
97,15,10
98,12,13
99,11,13
100,10,13
101,13,10
102,10,13
103,13,11
104,17,8
105,17,8
106,12,12
107,14,9
108,14,10
109,14,10
110,15,8
111,14,9
112,13,9
113,14,8
114,15,6
115,11,10
116,11,10
117,12,8
118,12,8
119,11,9
120,11,9
121,11,8
122,11,8
123,10,8
124,11,8
125,12,7
126,11,8
127,14,5
128,14,6
129,14,6
130,12,8
131,11,8
132,10,9
133,11,7
134,10,8
135,10,8
136,10,8
137,10,8
138,12,5
139,12,5
140,10,7
141,11,6
142,7,8
143,9,7
144,9,5
145,8,7
146,8,7
147,10,4
148,10,4
149,9,5
150,9,5
151,8,6
152,8,5
153,6,7
154,6,4
155,8,3
156,8,3
157,6,4
158,6,3
159,7,2
160,7,2
161,7,2
162,6,2
163,7,1
164,8,0
165,8,0
166,8,0
167,8,0
168,5,2
169,6,2
170,7,1
171,7,1
172,8,0
173,8,0
174,6,2
175,7,1
176,7,1
177,6,2
178,6,2
179,8,0
180,8,0
181,6,2
182,6,1
183,7,0
184,7,0
185,6,1
186,6,1
187,7,0
188,7,0
189,6,1
190,7,0
191,7,0
192,6,1
193,6,1
194,7,0
195,7,0
196,6,1
197,6,1
198,6,0
